Season,Club/Country,Award,Player
16/17,Real Madrid,Champions League winner,Karim Benzema
15/16,Real Madrid,Champions League winner,Karim Benzema
13/14,Real Madrid,Champions League winner,Karim Benzema
23,Real Madrid,FIFA Club World Cup winner,Karim Benzema
18,Real Madrid,FIFA Club World Cup winner,Karim Benzema
17,Real Madrid,FIFA Club World Cup winner,Karim Benzema
16,Real Madrid,FIFA Club World Cup winner,Karim Benzema
15,Real Madrid,FIFA Club World Cup winner,Karim Benzema
14,Real Madrid,FIFA Club World Cup winner,Karim Benzema
21/22,Real Madrid,Spanish champion,Karim Benzema
19/20,Real Madrid,Spanish champion,Karim Benzema
16/17,Real Madrid,Spanish champion,Karim Benzema
11/12,Real Madrid,Spanish champion,Karim Benzema
07/08,Olympique Lyon,French champion,Karim Benzema
22/23,Real Madrid,Uefa Supercup winner,Karim Benzema
17/18,Real Madrid,Uefa Supercup winner,Karim Benzema
16/17,Real Madrid,Uefa Supercup winner,Karim Benzema
14/15,Real Madrid,Uefa Supercup winner,Karim Benzema
21,France,Winner UEFA Nations League,Karim Benzema
22/23,Real Madrid,Spanish cup winner,Karim Benzema
13/14,Real Madrid,Spanish cup winner,Karim Benzema
10/11,Real Madrid,Spanish cup winner,Karim Benzema
07/08,Olympique Lyon,French cup winner,Karim Benzema
21/22,Real Madrid,Spanish Super Cup winner,Karim Benzema
19/20,Real Madrid,Spanish Super Cup winner,Karim Benzema
17/18,Real Madrid,Spanish Super Cup winner,Karim Benzema
12/13,Real Madrid,Spanish Super Cup winner,Karim Benzema
07/08,Olympique Lyon,French Super Cup winner,Karim Benzema
16,Portugal,European champion,Nani
07/08,Manchester United,Champions League winner,Nani
09,Manchester United,FIFA Club World Cup winner,Nani
12/13,Manchester United,English Champion,Nani
10/11,Manchester United,English Champion,Nani
08/09,Manchester United,English Champion,Nani
07/08,Manchester United,English Champion,Nani
10,Manchester United,English League Cup winner,Nani
09,Manchester United,English League Cup winner,Nani
12,Manchester United,English Super Cup winner,Nani
11,Manchester United,English Super Cup winner,Nani
09,Manchester United,English Super Cup winner,Nani
08,Manchester United,English Super Cup winner,Nani
19,Sporting CP,Portuguese cup winner,Nani
15,Sporting CP,Portuguese cup winner,Nani
18/19,Sporting CP,Portuguese league cup winner,Nani
10,Spain,World Cup winner,Gerard Piqué
12,Spain,European champion,Gerard Piqué
14/15,FC Barcelona,Champions League winner,Gerard Piqué
10/11,FC Barcelona,Champions League winner,Gerard Piqué
08/09,FC Barcelona,Champions League winner,Gerard Piqué
07/08,Manchester United,Champions League winner,Gerard Piqué
16,FC Barcelona,FIFA Club World Cup winner,Gerard Piqué
12,FC Barcelona,FIFA Club World Cup winner,Gerard Piqué
11,FC Barcelona,FIFA Club World Cup winner,Gerard Piqué
07/08,Manchester United,English Champion,Gerard Piqué
22/23,FC Barcelona,Spanish champion,Gerard Piqué
18/19,FC Barcelona,Spanish champion,Gerard Piqué
17/18,FC Barcelona,Spanish champion,Gerard Piqué
15/16,FC Barcelona,Spanish champion,Gerard Piqué
14/15,FC Barcelona,Spanish champion,Gerard Piqué
12/13,FC Barcelona,Spanish champion,Gerard Piqué
10/11,FC Barcelona,Spanish champion,Gerard Piqué
09/10,FC Barcelona,Spanish champion,Gerard Piqué
08/09,FC Barcelona,Spanish champion,Gerard Piqué
15/16,FC Barcelona,Uefa Supercup winner,Gerard Piqué
11/12,FC Barcelona,Uefa Supercup winner,Gerard Piqué
09/10,FC Barcelona,Uefa Supercup winner,Gerard Piqué
20/21,FC Barcelona,Spanish cup winner,Gerard Piqué
17/18,FC Barcelona,Spanish cup winner,Gerard Piqué
16/17,FC Barcelona,Spanish cup winner,Gerard Piqué
15/16,FC Barcelona,Spanish cup winner,Gerard Piqué
14/15,FC Barcelona,Spanish cup winner,Gerard Piqué
11/12,FC Barcelona,Spanish cup winner,Gerard Piqué
08/09,FC Barcelona,Spanish cup winner,Gerard Piqué
18/19,FC Barcelona,Spanish Super Cup winner,Gerard Piqué
16/17,FC Barcelona,Spanish Super Cup winner,Gerard Piqué
13/14,FC Barcelona,Spanish Super Cup winner,Gerard Piqué
11/12,FC Barcelona,Spanish Super Cup winner,Gerard Piqué
10/11,FC Barcelona,Spanish Super Cup winner,Gerard Piqué
09/10,FC Barcelona,Spanish Super Cup winner,Gerard Piqué
11/12,UEFA Europa League- 12 Goals,Top goal scorer,Radamel Falcao
10/11,UEFA Europa League- 18 Goals,Top goal scorer,Radamel Falcao
16/17,AS Monaco,French champion,Radamel Falcao
12/13,Atlético de Madrid,Uefa Supercup winner,Radamel Falcao
11/12,Atlético de Madrid,Europa League winner,Radamel Falcao
10/11,FC Porto,Europa League winner,Radamel Falcao
12/13,Atlético de Madrid,Spanish cup winner,Radamel Falcao
11/12,FC Porto,Portuguese champion,Radamel Falcao
10/11,FC Porto,Portuguese champion,Radamel Falcao
11,FC Porto,Portuguese cup winner,Radamel Falcao
10,FC Porto,Portuguese cup winner,Radamel Falcao
08,CA River Plate,Argentinian champion,Radamel Falcao
12,FC Porto,Portuguese Super Cup winner,Radamel Falcao
11,FC Porto,Portuguese Super Cup winner,Radamel Falcao
14,Italy,Footballer of the Year,Andrea Pirlo
13,Italy,Footballer of the Year,Andrea Pirlo
12,Italy,Footballer of the Year,Andrea Pirlo
11/12,Juventus FC,Player of the Year,Andrea Pirlo
14/15,Juventus FC,Italian champion,Andrea Pirlo
13/14,Juventus FC,Italian champion,Andrea Pirlo
12/13,Juventus FC,Italian champion,Andrea Pirlo
11/12,Juventus FC,Italian champion,Andrea Pirlo
10/11,AC Milan,Italian champion,Andrea Pirlo
07/08,AC Milan,Uefa Supercup winner,Andrea Pirlo
14/15,Juventus FC,Italian cup winner,Andrea Pirlo
13/14,Juventus FC,Italian Super Cup winner,Andrea Pirlo
12/13,Juventus FC,Italian Super Cup winner,Andrea Pirlo
96/97,Brescia Calcio,Italienischer Zweitligameister,Andrea Pirlo
95/96,Brescia Primavera,Viareggio,Andrea Pirlo
12,England,Footballer of the Year,Robin van Persie
12/13,Premier League- 26 Goals,Top goal scorer,Robin van Persie
12/13,World Cup qualification Europe- 11 Goals,Top goal scorer,Robin van Persie
11/12,Premier League- 30 Goals,Top goal scorer,Robin van Persie
12/13,Manchester United,Player of the Year,Robin van Persie
11/12,Arsenal FC,Player of the Year,Robin van Persie
12/13,Manchester United,English Champion,Robin van Persie
14,Manchester United,English Super Cup winner,Robin van Persie
17/18,Feyenoord Rotterdam,Dutch Cup winner,Robin van Persie
19,Feyenoord Rotterdam,Dutch Super Cup winner,Robin van Persie
19,Feyenoord Rotterdam,Dutch Super Cup winner,Robin van Persie
10,Spain,World Cup winner,Sergio Busquets
12,Spain,European champion,Sergio Busquets
14/15,FC Barcelona,Champions League winner,Sergio Busquets
10/11,FC Barcelona,Champions League winner,Sergio Busquets
08/09,FC Barcelona,Champions League winner,Sergio Busquets
16,FC Barcelona,FIFA Club World Cup winner,Sergio Busquets
12,FC Barcelona,FIFA Club World Cup winner,Sergio Busquets
10,FC Barcelona,FIFA Club World Cup winner,Sergio Busquets
22/23,FC Barcelona,Spanish champion,Sergio Busquets
18/19,FC Barcelona,Spanish champion,Sergio Busquets
17/18,FC Barcelona,Spanish champion,Sergio Busquets
15/16,FC Barcelona,Spanish champion,Sergio Busquets
14/15,FC Barcelona,Spanish champion,Sergio Busquets
12/13,FC Barcelona,Spanish champion,Sergio Busquets
10/11,FC Barcelona,Spanish champion,Sergio Busquets
09/10,FC Barcelona,Spanish champion,Sergio Busquets
08/09,FC Barcelona,Spanish champion,Sergio Busquets
15/16,FC Barcelona,Uefa Supercup winner,Sergio Busquets
11/12,FC Barcelona,Uefa Supercup winner,Sergio Busquets
09/10,FC Barcelona,Uefa Supercup winner,Sergio Busquets
20/21,FC Barcelona,Spanish cup winner,Sergio Busquets
17/18,FC Barcelona,Spanish cup winner,Sergio Busquets
16/17,FC Barcelona,Spanish cup winner,Sergio Busquets
15/16,FC Barcelona,Spanish cup winner,Sergio Busquets
14/15,FC Barcelona,Spanish cup winner,Sergio Busquets
11/12,FC Barcelona,Spanish cup winner,Sergio Busquets
08/09,FC Barcelona,Spanish cup winner,Sergio Busquets
22/23,FC Barcelona,Spanish Super Cup winner,Sergio Busquets
18/19,FC Barcelona,Spanish Super Cup winner,Sergio Busquets
16/17,FC Barcelona,Spanish Super Cup winner,Sergio Busquets
13/14,FC Barcelona,Spanish Super Cup winner,Sergio Busquets
11/12,FC Barcelona,Spanish Super Cup winner,Sergio Busquets
10/11,FC Barcelona,Spanish Super Cup winner,Sergio Busquets
09/10,FC Barcelona,Spanish Super Cup winner,Sergio Busquets
23,Inter Miami CF,Leagues Cup Winner,Sergio Busquets
16,Wales,Footballer of the Year,Gareth Bale
15,Wales,Footballer of the Year,Gareth Bale
14,Wales,Footballer of the Year,Gareth Bale
13,Wales,Footballer of the Year,Gareth Bale
13,England,Footballer of the Year,Gareth Bale
11,Wales,Footballer of the Year,Gareth Bale
10,Wales,Footballer of the Year,Gareth Bale
12/13,Tottenham Hotspur,Player of the Year,Gareth Bale
17/18,FIFA Club World Cup- 3 Goals,Top goal scorer,Gareth Bale
21/22,Real Madrid,Champions League winner,Gareth Bale
17/18,Real Madrid,Champions League winner,Gareth Bale
16/17,Real Madrid,Champions League winner,Gareth Bale
15/16,Real Madrid,Champions League winner,Gareth Bale
13/14,Real Madrid,Champions League winner,Gareth Bale
18,Real Madrid,FIFA Club World Cup winner,Gareth Bale
17,Real Madrid,FIFA Club World Cup winner,Gareth Bale
16,Real Madrid,FIFA Club World Cup winner,Gareth Bale
15,Real Madrid,FIFA Club World Cup winner,Gareth Bale
14,Real Madrid,FIFA Club World Cup winner,Gareth Bale
21/22,Real Madrid,Spanish champion,Gareth Bale
19/20,Real Madrid,Spanish champion,Gareth Bale
16/17,Real Madrid,Spanish champion,Gareth Bale
17/18,Real Madrid,Uefa Supercup winner,Gareth Bale
16/17,Real Madrid,Uefa Supercup winner,Gareth Bale
14/15,Real Madrid,Uefa Supercup winner,Gareth Bale
13/14,Real Madrid,Spanish cup winner,Gareth Bale
17/18,Real Madrid,Spanish Super Cup winner,Gareth Bale
08,Tottenham Hotspur,English League Cup winner,Gareth Bale
21/22,Los Angeles FC,MLS Cup Champion,Gareth Bale
21/22,Los Angeles FC,Supporters' Shield Winner,Gareth Bale
21,Bayern Munich,The Best FIFA Men's Player,Robert Lewandowski
20,Bayern Munich,The Best FIFA Men's Player,Robert Lewandowski
20,Bayern Munich,UEFA Best Player in Europe,Robert Lewandowski
21,Germany,Footballer of the Year,Robert Lewandowski
21,Poland,Footballer of the Year,Robert Lewandowski
20,Germany,Footballer of the Year,Robert Lewandowski
20,Poland,Footballer of the Year,Robert Lewandowski
19,Poland,Footballer of the Year,Robert Lewandowski
17,Poland,Footballer of the Year,Robert Lewandowski
16,Poland,Footballer of the Year,Robert Lewandowski
15,Poland,Footballer of the Year,Robert Lewandowski
14,Poland,Footballer of the Year,Robert Lewandowski
13,Poland,Footballer of the Year,Robert Lewandowski
12,Poland,Footballer of the Year,Robert Lewandowski
11,Poland,Footballer of the Year,Robert Lewandowski
22/23,LaLiga- 23 Goals,Top goal scorer,Robert Lewandowski
22/23,Supercopa- 2 Goals,Top goal scorer,Robert Lewandowski
21/22,Bundesliga- 35 Goals,Top goal scorer,Robert Lewandowski
20/21,Bundesliga- 41 Goals,Top goal scorer,Robert Lewandowski
19/20,UEFA Champions League- 15 Goals,Top goal scorer,Robert Lewandowski
19/20,DFB-Pokal- 6 Goals,Top goal scorer,Robert Lewandowski
19/20,Bundesliga- 34 Goals,Top goal scorer,Robert Lewandowski
18/19,DFB-Pokal- 7 Goals,Top goal scorer,Robert Lewandowski
18/19,Bundesliga- 22 Goals,Top goal scorer,Robert Lewandowski
17/18,DFB-Pokal- 6 Goals,Top goal scorer,Robert Lewandowski
17/18,Bundesliga- 29 Goals,Top goal scorer,Robert Lewandowski
16/17,World Cup qualification Europe- 16 Goals,Top goal scorer,Robert Lewandowski
16/17,DFB-Pokal- 5 Goals,Top goal scorer,Robert Lewandowski
15/16,Bundesliga- 30 Goals,Top goal scorer,Robert Lewandowski
15/16,European Qualifiers- 13 Goals,Top goal scorer,Robert Lewandowski
13/14,Bundesliga- 20 Goals,Top goal scorer,Robert Lewandowski
11/12,DFB-Pokal- 7 Goals,Top goal scorer,Robert Lewandowski
09/10,Ekstraklasa- 18 Goals,Top goal scorer,Robert Lewandowski
07/08,2 Liga- 21 Goals,Top goal scorer,Robert Lewandowski
21,Germany,TM-Player of the season,Robert Lewandowski
20,Germany,TM-Player of the season,Robert Lewandowski
19/20,Bayern Munich,Champions League winner,Robert Lewandowski
21,Bayern Munich,FIFA Club World Cup winner,Robert Lewandowski
21/22,Bayern Munich,German Champion,Robert Lewandowski
20/21,Bayern Munich,German Champion,Robert Lewandowski
19/20,Bayern Munich,German Champion,Robert Lewandowski
18/19,Bayern Munich,German Champion,Robert Lewandowski
17/18,Bayern Munich,German Champion,Robert Lewandowski
16/17,Bayern Munich,German Champion,Robert Lewandowski
15/16,Bayern Munich,German Champion,Robert Lewandowski
14/15,Bayern Munich,German Champion,Robert Lewandowski
11/12,Borussia Dortmund,German Champion,Robert Lewandowski
10/11,Borussia Dortmund,German Champion,Robert Lewandowski
22/23,FC Barcelona,Spanish champion,Robert Lewandowski
20/21,Bayern Munich,Uefa Supercup winner,Robert Lewandowski
19/20,Bayern Munich,German cup winner,Robert Lewandowski
18/19,Bayern Munich,German cup winner,Robert Lewandowski
15/16,Bayern Munich,German cup winner,Robert Lewandowski
11/12,Borussia Dortmund,German cup winner,Robert Lewandowski
21/22,Bayern Munich,German Super Cup winner,Robert Lewandowski
20/21,Bayern Munich,German Super Cup winner,Robert Lewandowski
18/19,Bayern Munich,German Super Cup winner,Robert Lewandowski
17/18,Bayern Munich,German Super Cup winner,Robert Lewandowski
16/17,Bayern Munich,German Super Cup winner,Robert Lewandowski
13/14,Borussia Dortmund,German Super Cup winner,Robert Lewandowski
22/23,FC Barcelona,Spanish Super Cup winner,Robert Lewandowski
09/10,Lech Poznan,Polish champion,Robert Lewandowski
08/09,Lech Poznan,Polish cup winner,Robert Lewandowski
09/10,Lech Poznan,Polish Super Cup winner,Robert Lewandowski
17/18,Ligue 1- 28 Goals,Top goal scorer,Edinson Cavani
16/17,Ligue 1- 35 Goals,Top goal scorer,Edinson Cavani
16/17,World Cup qualification South America- 10 Goals,Top goal scorer,Edinson Cavani
16/17,Coupe de la Ligue- 4 Goals,Top goal scorer,Edinson Cavani
14/15,Coupe de la Ligue- 3 Goals,Top goal scorer,Edinson Cavani
13/14,Coupe de la Ligue- 4 Goals,Top goal scorer,Edinson Cavani
12/13,Serie A- 29 Goals,Top goal scorer,Edinson Cavani
11/12,Italy Cup- 5 Goals,Top goal scorer,Edinson Cavani
10/11,Uruguay,Copa América winner,Edinson Cavani
19/20,Paris Saint-Germain,French champion,Edinson Cavani
18/19,Paris Saint-Germain,French champion,Edinson Cavani
17/18,Paris Saint-Germain,French champion,Edinson Cavani
15/16,Paris Saint-Germain,French champion,Edinson Cavani
14/15,Paris Saint-Germain,French champion,Edinson Cavani
13/14,Paris Saint-Germain,French champion,Edinson Cavani
17/18,Paris Saint-Germain,French cup winner,Edinson Cavani
16/17,Paris Saint-Germain,French cup winner,Edinson Cavani
15/16,Paris Saint-Germain,French cup winner,Edinson Cavani
14/15,Paris Saint-Germain,French cup winner,Edinson Cavani
11/12,SSC Napoli,Italian cup winner,Edinson Cavani
17/18,Paris Saint-Germain,French league cup winner,Edinson Cavani
16/17,Paris Saint-Germain,French league cup winner,Edinson Cavani
15/16,Paris Saint-Germain,French league cup winner,Edinson Cavani
14/15,Paris Saint-Germain,French league cup winner,Edinson Cavani
13/14,Paris Saint-Germain,French league cup winner,Edinson Cavani
19/20,Paris Saint-Germain,French Super Cup winner,Edinson Cavani
18/19,Paris Saint-Germain,French Super Cup winner,Edinson Cavani
17/18,Paris Saint-Germain,French Super Cup winner,Edinson Cavani
16/17,Paris Saint-Germain,French Super Cup winner,Edinson Cavani
15/16,Paris Saint-Germain,French Super Cup winner,Edinson Cavani
14/15,Paris Saint-Germain,French Super Cup winner,Edinson Cavani
18/19,Brazil,Copa América winner,Thiago Silva
20/21,Chelsea FC,Champions League winner,Thiago Silva
22,Chelsea FC,FIFA Club World Cup winner,Thiago Silva
19/20,Paris Saint-Germain,French champion,Thiago Silva
18/19,Paris Saint-Germain,French champion,Thiago Silva
17/18,Paris Saint-Germain,French champion,Thiago Silva
15/16,Paris Saint-Germain,French champion,Thiago Silva
14/15,Paris Saint-Germain,French champion,Thiago Silva
13/14,Paris Saint-Germain,French champion,Thiago Silva
12/13,Paris Saint-Germain,French champion,Thiago Silva
10/11,AC Milan,Italian champion,Thiago Silva
21/22,Chelsea FC,Uefa Supercup winner,Thiago Silva
19/20,Paris Saint-Germain,French cup winner,Thiago Silva
17/18,Paris Saint-Germain,French cup winner,Thiago Silva
16/17,Paris Saint-Germain,French cup winner,Thiago Silva
15/16,Paris Saint-Germain,French cup winner,Thiago Silva
14/15,Paris Saint-Germain,French cup winner,Thiago Silva
11/12,AC Milan,Italian Super Cup winner,Thiago Silva
19/20,Paris Saint-Germain,French league cup winner,Thiago Silva
17/18,Paris Saint-Germain,French league cup winner,Thiago Silva
16/17,Paris Saint-Germain,French league cup winner,Thiago Silva
15/16,Paris Saint-Germain,French league cup winner,Thiago Silva
14/15,Paris Saint-Germain,French league cup winner,Thiago Silva
13/14,Paris Saint-Germain,French league cup winner,Thiago Silva
13,Brazil,Confederations Cup winner,Thiago Silva
19/20,Paris Saint-Germain,French Super Cup winner,Thiago Silva
18/19,Paris Saint-Germain,French Super Cup winner,Thiago Silva
17/18,Paris Saint-Germain,French Super Cup winner,Thiago Silva
16/17,Paris Saint-Germain,French Super Cup winner,Thiago Silva
15/16,Paris Saint-Germain,French Super Cup winner,Thiago Silva
13/14,Paris Saint-Germain,French Super Cup winner,Thiago Silva
12/13,Paris Saint-Germain,French Super Cup winner,Thiago Silva
15,England,Footballer of the Year,Eden Hazard
14/15,Chelsea FC,Player of the Year,Eden Hazard
11/12,LOSC Lille,Player of the Year,Eden Hazard
10/11,LOSC Lille,Player of the Year,Eden Hazard
21/22,Real Madrid,Champions League winner,Eden Hazard
23,Real Madrid,FIFA Club World Cup winner,Eden Hazard
16/17,Chelsea FC,English Champion,Eden Hazard
14/15,Chelsea FC,English Champion,Eden Hazard
21/22,Real Madrid,Spanish champion,Eden Hazard
19/20,Real Madrid,Spanish champion,Eden Hazard
10/11,LOSC Lille,French champion,Eden Hazard
22/23,Real Madrid,Uefa Supercup winner,Eden Hazard
18/19,Chelsea FC,Europa League winner,Eden Hazard
12/13,Chelsea FC,Europa League winner,Eden Hazard
18,Chelsea FC,English FA Cup winner,Eden Hazard
10/11,LOSC Lille,French cup winner,Eden Hazard
22/23,Real Madrid,Spanish cup winner,Eden Hazard
15,Chelsea FC,English League Cup winner,Eden Hazard
21/22,Real Madrid,Spanish Super Cup winner,Eden Hazard
14,,FIFA Puskás Award,James Rodríguez
13/14,World Cup 2014- 6 Goals,Top goal scorer,James Rodríguez
16/17,Real Madrid,Champions League winner,James Rodríguez
15/16,Real Madrid,Champions League winner,James Rodríguez
16,Real Madrid,FIFA Club World Cup winner,James Rodríguez
15,Real Madrid,FIFA Club World Cup winner,James Rodríguez
14,Real Madrid,FIFA Club World Cup winner,James Rodríguez
18/19,Bayern Munich,German Champion,James Rodríguez
17/18,Bayern Munich,German Champion,James Rodríguez
19/20,Real Madrid,Spanish champion,James Rodríguez
16/17,Real Madrid,Spanish champion,James Rodríguez
16/17,Real Madrid,Uefa Supercup winner,James Rodríguez
14/15,Real Madrid,Uefa Supercup winner,James Rodríguez
10/11,FC Porto,Europa League winner,James Rodríguez
18/19,Bayern Munich,German cup winner,James Rodríguez
18/19,Bayern Munich,German Super Cup winner,James Rodríguez
17/18,Bayern Munich,German Super Cup winner,James Rodríguez
19/20,Real Madrid,Spanish Super Cup winner,James Rodríguez
12/13,FC Porto,Portuguese champion,James Rodríguez
11/12,FC Porto,Portuguese champion,James Rodríguez
10/11,FC Porto,Portuguese champion,James Rodríguez
11,FC Porto,Portuguese cup winner,James Rodríguez
23,São Paulo Futebol Clube,Brazilian cup winner,James Rodríguez
09,CA Banfield,Argentinian champion,James Rodríguez
13,FC Porto,Portuguese Super Cup winner,James Rodríguez
10,FC Porto,Portuguese Super Cup winner,James Rodríguez
18,Germany,Footballer of the Year,Toni Kroos
14,Germany,World Cup winner,Toni Kroos
21/22,Real Madrid,Champions League winner,Toni Kroos
17/18,Real Madrid,Champions League winner,Toni Kroos
16/17,Real Madrid,Champions League winner,Toni Kroos
15/16,Real Madrid,Champions League winner,Toni Kroos
12/13,Bayern Munich,Champions League winner,Toni Kroos
23,Real Madrid,FIFA Club World Cup winner,Toni Kroos
19,Real Madrid,FIFA Club World Cup winner,Toni Kroos
18,Real Madrid,FIFA Club World Cup winner,Toni Kroos
17,Real Madrid,FIFA Club World Cup winner,Toni Kroos
15,Real Madrid,FIFA Club World Cup winner,Toni Kroos
14,Bayern Munich,FIFA Club World Cup winner,Toni Kroos
13/14,Bayern Munich,German Champion,Toni Kroos
12/13,Bayern Munich,German Champion,Toni Kroos
07/08,Bayern Munich,German Champion,Toni Kroos
21/22,Real Madrid,Spanish champion,Toni Kroos
19/20,Real Madrid,Spanish champion,Toni Kroos
16/17,Real Madrid,Spanish champion,Toni Kroos
22/23,Real Madrid,Uefa Supercup winner,Toni Kroos
17/18,Real Madrid,Uefa Supercup winner,Toni Kroos
16/17,Real Madrid,Uefa Supercup winner,Toni Kroos
14/15,Real Madrid,Uefa Supercup winner,Toni Kroos
13/14,Bayern Munich,Uefa Supercup winner,Toni Kroos
13/14,Bayern Munich,German cup winner,Toni Kroos
12/13,Bayern Munich,German cup winner,Toni Kroos
07/08,Bayern Munich,German cup winner,Toni Kroos
22/23,Real Madrid,Spanish cup winner,Toni Kroos
21/22,Real Madrid,Spanish Super Cup winner,Toni Kroos
19/20,Real Madrid,Spanish Super Cup winner,Toni Kroos
17/18,Real Madrid,Spanish Super Cup winner,Toni Kroos
12/13,Bayern Munich,German Super Cup winner,Toni Kroos
14,Argentina,Footballer of the Year,Ángel Di María
17/18,Coupe de France- 7 Goals,Top goal scorer,Ángel Di María
22,Argentina,World Cup winner,Ángel Di María
20/21,Argentina,Copa América winner,Ángel Di María
13/14,Real Madrid,Champions League winner,Ángel Di María
21/22,Paris Saint-Germain,French champion,Ángel Di María
19/20,Paris Saint-Germain,French champion,Ángel Di María
18/19,Paris Saint-Germain,French champion,Ángel Di María
17/18,Paris Saint-Germain,French champion,Ángel Di María
15/16,Paris Saint-Germain,French champion,Ángel Di María
11/12,Real Madrid,Spanish champion,Ángel Di María
14/15,Real Madrid,Uefa Supercup winner,Ángel Di María
20/21,Paris Saint-Germain,French cup winner,Ángel Di María
17/18,Paris Saint-Germain,French cup winner,Ángel Di María
16/17,Paris Saint-Germain,French cup winner,Ángel Di María
15/16,Paris Saint-Germain,French cup winner,Ángel Di María
13/14,Real Madrid,Spanish cup winner,Ángel Di María
10/11,Real Madrid,Spanish cup winner,Ángel Di María
12/13,Real Madrid,Spanish Super Cup winner,Ángel Di María
19/20,Paris Saint-Germain,French league cup winner,Ángel Di María
17/18,Paris Saint-Germain,French league cup winner,Ángel Di María
16/17,Paris Saint-Germain,French league cup winner,Ángel Di María
15/16,Paris Saint-Germain,French league cup winner,Ángel Di María
09/10,SL Benfica,Portuguese champion,Ángel Di María
09/10,SL Benfica,Portuguese league cup winner,Ángel Di María
08/09,SL Benfica,Portuguese league cup winner,Ángel Di María
21/22,Argentina,CONMEBOL-UEFA Cup of Champions winner,Ángel Di María
20/21,Paris Saint-Germain,French Super Cup winner,Ángel Di María
19/20,Paris Saint-Germain,French Super Cup winner,Ángel Di María
18/19,Paris Saint-Germain,French Super Cup winner,Ángel Di María
17/18,Paris Saint-Germain,French Super Cup winner,Ángel Di María
16/17,Paris Saint-Germain,French Super Cup winner,Ángel Di María
08/09,Argentina Olympic Team,Olympic medalist,Ángel Di María
07/08,Argentina Olympic Team,Olympic medalist,Ángel Di María
24,SL Benfica,Portuguese Super Cup winner,Ángel Di María
12/13,Copa del Rey- 8 Goals,Top goal scorer,Diego Costa
16/17,Chelsea FC,English Champion,Diego Costa
14/15,Chelsea FC,English Champion,Diego Costa
20/21,Atlético de Madrid,Spanish champion,Diego Costa
13/14,Atlético de Madrid,Spanish champion,Diego Costa
17/18,Atlético de Madrid,Uefa Supercup winner,Diego Costa
11/12,Atlético de Madrid,Uefa Supercup winner,Diego Costa
10/11,Atlético de Madrid,Uefa Supercup winner,Diego Costa
17/18,Atlético de Madrid,Europa League winner,Diego Costa
12/13,Atlético de Madrid,Spanish cup winner,Diego Costa
15,Chelsea FC,English League Cup winner,Diego Costa
21,Clube Atlético Mineiro,Brazilian champion,Diego Costa
21,Clube Atlético Mineiro,Brazilian cup winner,Diego Costa
14,Germany,World Cup winner,Mario Götze
14,Bayern Munich,FIFA Club World Cup winner,Mario Götze
15/16,Bayern Munich,German Champion,Mario Götze
14/15,Bayern Munich,German Champion,Mario Götze
13/14,Bayern Munich,German Champion,Mario Götze
11/12,Borussia Dortmund,German Champion,Mario Götze
10/11,Borussia Dortmund,German Champion,Mario Götze
13/14,Bayern Munich,Uefa Supercup winner,Mario Götze
16/17,Borussia Dortmund,German cup winner,Mario Götze
15/16,Bayern Munich,German cup winner,Mario Götze
13/14,Bayern Munich,German cup winner,Mario Götze
11/12,Borussia Dortmund,German cup winner,Mario Götze
19/20,Borussia Dortmund,German Super Cup winner,Mario Götze
21/22,PSV Eindhoven,Dutch Cup winner,Mario Götze
22,PSV Eindhoven,Dutch Super Cup winner,Mario Götze
08/09,Borussia Dortmund U19,German Under-19 Bundesliga champion,Mario Götze
07/08,Borussia Dortmund U17,German Under-17 Bundesliga champion,Mario Götze
09,Germany U17,European Under-17 champion,Mario Götze
14/15,FC Barcelona,Champions League winner,Javier Mascherano
10/11,FC Barcelona,Champions League winner,Javier Mascherano
16,FC Barcelona,FIFA Club World Cup winner,Javier Mascherano
12,FC Barcelona,FIFA Club World Cup winner,Javier Mascherano
17/18,FC Barcelona,Spanish champion,Javier Mascherano
15/16,FC Barcelona,Spanish champion,Javier Mascherano
14/15,FC Barcelona,Spanish champion,Javier Mascherano
12/13,FC Barcelona,Spanish champion,Javier Mascherano
10/11,FC Barcelona,Spanish champion,Javier Mascherano
15/16,FC Barcelona,Uefa Supercup winner,Javier Mascherano
11/12,FC Barcelona,Uefa Supercup winner,Javier Mascherano
17/18,FC Barcelona,Spanish cup winner,Javier Mascherano
16/17,FC Barcelona,Spanish cup winner,Javier Mascherano
15/16,FC Barcelona,Spanish cup winner,Javier Mascherano
14/15,FC Barcelona,Spanish cup winner,Javier Mascherano
11/12,FC Barcelona,Spanish cup winner,Javier Mascherano
16/17,FC Barcelona,Spanish Super Cup winner,Javier Mascherano
13/14,FC Barcelona,Spanish Super Cup winner,Javier Mascherano
11/12,FC Barcelona,Spanish Super Cup winner,Javier Mascherano
07/08,Argentina Olympic Team,Olympic medalist,Javier Mascherano
18,France,World Cup winner,Paul Pogba
15/16,Juventus FC,Italian champion,Paul Pogba
14/15,Juventus FC,Italian champion,Paul Pogba
13/14,Juventus FC,Italian champion,Paul Pogba
12/13,Juventus FC,Italian champion,Paul Pogba
16/17,Manchester United,Europa League winner,Paul Pogba
21,France,Winner UEFA Nations League,Paul Pogba
15/16,Juventus FC,Italian cup winner,Paul Pogba
14/15,Juventus FC,Italian cup winner,Paul Pogba
15/16,Juventus FC,Italian Super Cup winner,Paul Pogba
